Name,Description,Formula
10e2,Extracted,F(((p | (q & r)) -> (X(s) U (t -> u))))
12,Original,GF g & G(h -> X i)
12,LLM - No Trace,G(F i)&G(h -> X i)
12a,LLM,G(g) & G(h -> X(i))
12a1,Extracted,(F(g) & G((h -> X(i))))
12a2,Extracted,(F(g) & G((h -> X(i))))
12b,LLM,G(F(g)) & G(h -> X(i))
12b1,Extracted,(G(F(g)) & G((h -> F(i))))
12b2,Extracted,(G(F(g)) | G((h -> F(i))))
12c,LLM,G(Fg & G(h -> Xi))
12c1,Extracted,G((F(g) & G((h -> X(i)))))
12c2,Extracted,G((F(g) & F((h | X(i)))))
12d,LLM,G(g U (h -> X(i)))
12d1,Extracted,G((g U (!h -> F(i))))
12d2,Extracted,G((g | (h -> X(i))))
12e,LLM,F(g) & G(h -> X(i))
12e1,Extracted,(F(g) & G((h -> F(i))))
12e2,Extracted,(F(g) & X((h -> F(i))))
14,Original,GF m & G(n -> X !o)
14a,LLM,F(m & n & X(!o))
14a1,Extracted,G((m | (n -> X(!o))))
14a2,Extracted,X((!m -> (n -> X(!o))))
14b,LLM,GF(m & n & X!o)
14b1,Extracted,G(F((m & (n & F(!o)))))
14b2,Extracted,G(F((m & (n & X(!o)))))
14c,LLM,G(m->(n U !o))
14c2,Extracted,G((m | (o U !n)))
14d,LLM,GF(m & n & X!o)
14d1,Extracted,G(F((m & (n & F(o)))))
14d2,Extracted,G(F((m & (n & X(!o)))))
15,Original,F((p & G(q)) -> X(r & (s)))
15,LLM - No Traces,G(p -> G q) & G(r -> X s)
16,Original,G((p& X(q)) -> X(r|s))
16a,LLM,F(p & q & (r | s))
16a1,Extracted,F((p | (q & (r | s))))
16b,LLM,GF(p & q & (r | s))
16b1,Extracted,G(F((p & (r U (!q & s)))))
16b2,Extracted,G(F((p & (q | (r -> s)))))
16c,LLM,G(p & q & !r -> X(s))
16c2,Extracted,G(((p & (q & !s)) -> X(r)))
16d,LLM,G(p -> X(r | s))
16e,LLM,G(q -> X(r | s))
16,LLM W/ rewritten description,G(p -> (X¬q ∨ Xr ∨ Xs))
17,Original,G(p->X((q)U(r|s)))
17a,LLM - No Trace,G (p -> (q U (r | s)))
17a,LLM,F(p -> X(q U (r | s)))
17a1,Extracted,G((p -> X((s U (r | q)))))
17a2,Extracted,X((p -> X((q U (r | !s)))))
17b,LLM,GF(p -> X(q U (r | s)))
17b1,Extracted,G(X((p -> G((q U (r | s))))))
17b2,Extracted,G(F((p -> F((q U (r | s))))))
17c,LLM,G(p -> (q U (r | s)))
17c1,Extracted,G((!s -> (q U (r | p))))
17c2,Extracted,G((p | (q U (r | !s))))
17d,LLM,F(p -> X(q U (r | s)))
17d1,Extracted,G((p -> G((q U (r | s)))))
17d2,Extracted,F((!p -> G((q U (r | s)))))
17e,LLM,G(p -> (q U r) | (q U s))
17e1,Extracted,X(G((p | (q U (r | s)))))
17e2,Extracted,F(G((p | (q U (r | s)))))
18,Original,G(F(((X((nsg & ewr) & X((nsy & ewr) & X (nsr & ewg))))) | ((X((ewg & nsr) & X((ewy & nsr) & X (ewr & nsg)))))) & F nsg & F nsy & F ewg & F ewy) & G!(nsr & nsg) & G!(nsr & nsy) & G!(nsg & nsy) & G((ewr & (nsg | nsy)) | (nsr & (ewg | ewy))) & G!(ewr & ewy) & G!(ewr & ewg)& G!(ewg & ewy) 
18,LLM,G((nsr -> X(nsg)) & (nsg -> X(nsy)) & (nsy -> X(nsr)) & (ewr -> X(ewg)) & (ewg -> X(ewy)) & (ewy -> X(ewr)) &(ewg | ewy -> nsr) & (nsg | nsy -> ewr) & (nsr | nsg | nsy) & (ewr | ewg | ewy) &F(ewg -> nsg) & (G(ewr -> !ewg & !ewy) & G(ewg -> !ewr & !ewy) & G(ewy -> !ewr & !ewg)) &(G(nsr -> !nsg & !nsy) & G(nsg -> !nsr & !nsy) & G(nsy -> !nsr & !nsg)))
19,Original,(G(F(!n)) & G(k -> (l U m))) & (G((o & p) -> X(q)) & F(r))
19,LLM - No Traces,G(k -> (i U m)) &  G F n &  G((o & p) -> X q) & F r
20,Original,G((p U q) & F(r)) | (s-> (!p &F(!r)))
20,LLM - No Trace,G (p -> (q U (r | s)))
20a,LLM,G(s U p) & F(p -> X(q | r))
20a1,Extracted,(G((s U (!r -> p))) | F((p -> X((q | r)))))
20a2,Extracted,(G((s U !r)) -> F((G(!s) -> X((q | !p)))))
20b,LLM,G((p -> X(q | r)) & (!p -> s))
20b1,Extracted,F(((!p -> s) & (p -> X((q | r)))))
20b2,Extracted,F(((!p -> s) & (p -> X((q | r)))))
20c,LLM,G((!q & !r) -> s) & F(p & X(q | r))
20c1,Extracted,G((p -> X((s U (r | q)))))
20c2,Extracted,X((p -> X((q U (r | !s)))))
20d,LLM,G(p -> X(!s & (q | r)))
20d1,Extracted,F((p -> X((!s U (q | r)))))
20d2,Extracted,F((p -> X((!s -> (q | r)))))
20e,LLM,F(p) & G((p -> X(q | r)) & (!p -> s))
20e2,Extracted,(F(r) & G(((!p -> s) & (p -> F((q | s))))))
21,Original,GF((as | (ap & lr)) & X(G(!as & !ap) U (vs | (vp & av)))) & G(!ap | !vp) & G(!ap | lr) & G(!vp | av)
21a,LLM,G((lr & !as) -> ap) & ((vs & !av) → vp) & G((lr & !as) | ap) & ((!av & vs) | vp)
21a1,Extracted,G(((!ap | as) | (!as & lr))) & G((vp | (!av U !vp))) &(lr | (!av & vs))
21b1,Extracted,G(((!as & lr) -> F(av))) & (lr | (!av | vs)) & G((vp | (!av -> lr))) & G((vp | (!av -> lr)))
